                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4478,                0.86198,                0.96516,                0.91972,                0.85126,                0.90729,                0.48249,                 1.5163,                0.65975,                 1.0219,              0.0033228,              0.0033228,              0.0033228
                      2,                 1.3815,                0.73348,                0.94826,                0.93422,                0.86166,                0.92328,                0.49579,                 1.4719,                0.65378,                 1.0022,              0.0066232,              0.0066232,              0.0066232
                      3,                 1.3838,                0.72241,                0.95752,                0.88165,                0.82055,                0.87681,                0.42837,                 1.6202,                0.76439,                 1.0421,              0.0098906,              0.0098906,              0.0098906
                      4,                 1.4018,                0.73789,                0.96157,                0.92157,                0.82846,                0.90221,                0.46608,                 1.5875,                0.75534,                 1.0414,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.4025,                0.73442,                0.95548,                0.90879,                0.81131,                0.88924,                0.47066,                 1.5451,                0.74072,                 1.0259,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.4006,                0.72393,                0.95306,                0.88762,                0.84918,                0.90624,                0.47144,                 1.5249,                0.71774,                 1.0264,               0.009802,               0.009802,               0.009802
                      7,                 1.3867,                0.72015,                 0.9638,                0.88994,                0.87036,                0.91794,                0.46828,                 1.5386,                0.69341,                 1.0255,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3568,                0.70306,                0.95548,                0.92069,                0.83241,                0.91589,                0.48925,                 1.5188,                0.68118,                 1.0269,               0.009703,               0.009703,               0.009703
                      9,                 1.3544,                0.69842,                0.94977,                0.89717,                0.82292,                0.89988,                 0.4771,                 1.5374,                0.68892,                 1.0286,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.3594,                0.68937,                0.94454,                0.91003,                0.86355,                 0.9201,                0.48194,                 1.5096,                0.68177,                 1.0169,               0.009604,               0.009604,               0.009604
                     11,                 1.3529,                0.67738,                0.94884,                 0.8911,                0.83445,                0.89454,                0.45014,                 1.6061,                0.71878,                 1.0625,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3333,                0.68026,                0.95233,                0.89823,                0.84269,                0.89478,                0.46335,                 1.5347,                0.69146,                  1.019,               0.009505,               0.009505,               0.009505
                     13,                 1.3281,                 0.6628,                0.94424,                0.89516,                 0.8707,                0.91192,                0.47012,                 1.5433,                0.68783,                 1.0297,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3291,                0.66476,                0.93956,                0.84845,                0.84111,                0.89401,                0.47476,                 1.5171,                0.71019,                  1.024,               0.009406,               0.009406,               0.009406
                     15,                    1.3,                0.63421,                0.93693,                0.88457,                0.81502,                0.89297,                0.47544,                 1.5179,                0.67755,                 1.0213,              0.0093565,              0.0093565,              0.0093565
