                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1266,                  5.592,                 1.1211,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00066387,             0.00066387,             0.00066387
                      2,                  2.235,                 2.6228,                 1.2329,                0.00092,                0.13158,                0.00083,                0.00029,                 2.6651,                 4.4135,                 1.3164,              0.0013239,              0.0013239,              0.0013239
                      3,                 2.1894,                 2.2599,                 1.1844,                0.33566,                0.23684,                0.22629,                0.07911,                 2.0146,                 2.2765,                 1.0241,              0.0019774,              0.0019774,              0.0019774
                      4,                 2.1883,                 2.3298,                 1.1381,                0.94437,                0.15789,                0.15811,                0.09308,                 1.6181,                 34.585,                0.90934,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.0853,                 2.0634,                 1.1049,                0.64252,                0.36842,                0.43547,                 0.1632,                 1.6962,                 1.9174,                0.90747,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.8974,                 1.8028,                 1.0703,                0.90784,                    0.5,                 0.6033,                0.27667,                 1.7796,                  1.619,                0.95875,              0.0019604,              0.0019604,              0.0019604
                      7,                  1.841,                 1.6535,                  1.032,                0.60762,                0.40777,                0.46734,                0.23818,                 1.5124,                 1.8393,                0.88202,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.8816,                 1.7078,                  1.065,                0.65502,                0.39991,                0.49157,                0.21474,                 1.6764,                 1.8397,                0.95003,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.8896,                 1.7658,                  1.029,                0.78313,                0.42105,                0.47796,                0.22991,                  1.477,                 1.4933,                0.87699,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7716,                 1.5098,                 1.0233,                0.71384,                0.59102,                0.52139,                0.24759,                 1.6095,                 1.5742,                0.87635,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.8304,                 1.4883,                 1.0639,                0.91592,                0.57352,                0.68153,                0.35821,                 1.4044,                 1.1893,                0.85255,              0.0019109,              0.0019109,              0.0019109
                     12,                  1.754,                 1.5514,                 1.0106,                0.59888,                0.62871,                0.62563,                 0.2694,                 1.6399,                 1.4078,                0.92417,               0.001901,               0.001901,               0.001901
                     13,                  1.706,                 1.4027,                 1.0144,                0.59537,                0.57895,                0.59799,                0.26727,                 1.5718,                 1.5126,                0.92929,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.6521,                 1.3259,                0.99766,                 0.8244,                0.60526,                0.66049,                0.30926,                 1.6486,                 1.5976,                0.86799,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.6892,                 1.4345,                0.99362,                0.86391,                0.55263,                 0.6217,                0.26856,                 1.5802,                 1.6504,                0.90149,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.6981,                 1.3285,                 1.0089,                0.81002,                0.47368,                0.55348,                0.24794,                 1.5699,                 1.4215,                0.89136,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.6981,                 1.2834,                 1.0123,                0.56001,                0.57895,                0.59713,                 0.2645,                 1.6253,                 1.4025,                0.88449,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.6755,                 1.2493,                 1.0065,                0.90297,                0.49009,                0.67498,                0.33026,                 1.4255,                 1.2376,                0.85626,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.6943,                 1.2754,                0.99133,                0.88018,                0.52632,                 0.6123,                0.29416,                 1.4228,                 1.6166,                0.86131,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.6674,                 1.2403,                 1.0023,                      1,                0.70526,                0.76943,                0.38562,                 1.3968,                 1.0969,                0.85574,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.6746,                 1.2147,                 1.0029,                      1,                0.46457,                0.61007,                0.30217,                 1.5245,                 1.5787,                0.87993,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.6568,                 1.1818,                 1.0081,                0.95692,                0.58469,                0.72873,                0.37434,                 1.4871,                 1.2978,                0.86279,               0.001802,               0.001802,               0.001802
                     23,                 1.5516,                 1.1904,                0.96829,                0.75891,                0.63158,                0.69842,                0.32307,                 1.4988,                 1.6648,                0.86365,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.6084,                 1.1244,                0.97414,                0.95945,                0.62291,                0.71083,                0.32529,                 1.5625,                  1.698,                0.88303,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.6265,                  1.103,                0.98255,                0.34886,                0.39477,                0.35814,                0.12349,                 1.7415,                  2.256,                0.92463,              0.0017723,              0.0017723,              0.0017723
                     26,                 1.5874,                 1.1193,                 0.9689,                0.83628,                0.71053,                0.72537,                0.32219,                  1.561,                 1.2891,                0.86462,              0.0017624,              0.0017624,              0.0017624
                     27,                  1.564,                 1.0759,                0.95287,                0.88001,                0.68421,                0.72239,                0.37708,                 1.3636,                 1.3355,                0.82278,              0.0017525,              0.0017525,              0.0017525
                     28,                 1.5605,                 1.0992,                0.97294,                  0.978,                0.68421,                0.74682,                0.36087,                  1.443,                  1.158,                0.85429,              0.0017426,              0.0017426,              0.0017426
                     29,                 1.5768,                 1.1069,                0.95395,                0.73175,                0.68421,                0.67494,                0.30924,                 1.5036,                 1.5186,                0.85408,              0.0017327,              0.0017327,              0.0017327
                     30,                  1.536,                 1.0075,                0.95741,                0.84107,                0.60526,                0.66081,                0.27329,                 1.5626,                 1.6965,                0.88158,              0.0017228,              0.0017228,              0.0017228
                     31,                 1.4834,                0.96084,                 0.9505,                0.95961,                0.62546,                0.74251,                0.45775,                 1.2366,                 1.1708,                0.80995,              0.0017129,              0.0017129,              0.0017129
                     32,                 1.5137,                0.99597,                0.95638,                0.88648,                0.65789,                0.71775,                 0.3393,                  1.649,                 1.3207,                0.89049,               0.001703,               0.001703,               0.001703
                     33,                 1.5622,                 1.0269,                0.96037,                0.86343,                0.66568,                 0.7383,                0.34495,                 1.5046,                 1.2511,                0.85935,              0.0016931,              0.0016931,              0.0016931
                     34,                 1.5474,                0.95871,                 0.9725,                0.86169,                0.57895,                0.65151,                0.27171,                 1.6887,                 1.5041,                 0.9436,              0.0016832,              0.0016832,              0.0016832
                     35,                 1.5451,                 1.0082,                0.96644,                      1,                0.62956,                0.72369,                0.34635,                 1.3797,                 1.2657,                0.82305,              0.0016733,              0.0016733,              0.0016733
